id,by,text
22998788,samdunham,"Everything everyone posts on Twitter can be used by anyone for any reason. It's in the Twitter TOS. Disney didn't even need to post anything, they could have just used your tweets for whatever they wanted to use them for."
22998787,ssalka,"The problem is, today's applications are not HTML forms with ""a tiny bit of JavaScript enhancement."" Today's apps are immense JS programs - tens if not hundreds of thousands of lines. Good luck scaling that without modern tooling."
22998786,koverda,"I'd have to second this guess. SMS is much more expensive than push notifications."
22998785,1996,"define care and monitoring. - care, like taking the drugs they have been prescribed and regularly take at home? Any family member can do that. - monitoring that the saturation does not fall too low... so that patients can be intubated with a 90% risk of death? I'd rather opt out of that one. To be clear, I'm talking about de-medicalizing covid: no ICU, no hospital. Just O2 nasal canula at home. It seems unimaginable, but a large number of in the world deal with no hospital healthcare."
22998784,summerlight,"IIRC, some of its major channels do it when the campaign's going to exceed its budget. Or you can simply use a maximize clicks/conversions bidding strategy."
22998783,pier25,"Also you can't really try to protect JavaScript developers from understanding this. It's a fundamental part of the language."
22998782,gas9S9zw3P9c,"I've tried AdWords for a couple of projects and have had very similar experiences. It has always been a total waste of money for me and I'm having a hard time believing that it's actual people, i.e. potential customers clicking on these things."
22998781,viklove,"It's not only possible, but highly likely. Still doesn't make it OK or not worthy of ridicule though. Internal company processes have no impact on how the public (and judicial system) will react to them."
22998780,mgarfias,time to order some cornish cross chicks
22998779,ngngngng,"They always have someone approving them. A college near me always posts pictures tagged with #builtbyBYU and I always post the dude standing in his bathroom mirror saying ""Hi welcome to Chili's"" with that tag but it never makes it onto the jumbotron..."
22998778,ninjaranter,Is there a way to see diff output side-by-side? I personally find that much easier to parse through with a widescreen monitor.
22998777,throwaway894345,"When has the general public responded better to accuracy over emotions? We've been told for years and in ever greater detail that environment is dying and we won't do anything about it, but we see a video of a turtle suffering because it has a plastic straw stuck in its nose and it's a major legislative issue."
22998776,na85,"In the early days of systemd it broke systems on the regular, and instead of humility, Lennart Poettering and his homies tended to react with ego and arrogance."
22999492,whatcanwedo,Silly question: can i wifi my home like that?
22999491,huffmsa,"There are definitely more than a few partisan court cases, but most of them are very very logical. Even when it's a partisan, ideological split."
22999490,notacoward,"This is exactly how some large tech companies build all their executables. You might not get to run those, but they definitely exist."
22999489,grizzles,"You're right - Key Management is (very) hard. It looks like you have some nice primitives there, personally I'd love to see you take a few weeks to discuss /gather feedback and refine your plans before copying Keybases flawed approach wholly. I'm especially skeptical of the idea of linking 3rd party accounts into a global identity descriptor. irc there's been some decent Keybase criticism in previous HN threads."
22999487,dang,"Ok, but please don't post unsubstantive comments here."
22996637,dede4metal,Yeah negative sorry
22999486,londons_explore,"The optimal strategy for most businesses is one that google doesn't offer... Most businesses have some marginal cost of providing service to a user, and are therefore happy to pay any amount up to that cost to get a user.  So in the Google Ad dashboard, that would be ""Target CPA"", but instead of setting an average cost per acquisition, it would set the maximum cost per acquisition. Whats the difference you ask?   Some users will come via a 'cheap' route - for example directly searching for your company name, and clicking the top ad, costing you very little because your quality score is very high, and then converting at a high rate. Other users will come via an expensive route - searching for a tangentially related keyword, unlikley to click through, and also unlikely to convert when they have clicked through. You only want the guy from the expensive route if he, and all the others like him, cost less than your companies marginal cost of providing service.  You don't want to include the guy who directly searched for your company name in the average when making that decision. Why doesn't Google offer this?  It would significantly cut down on overspend in the ad world (ie. spending more to get some customers than they are worth), and in turn significantly hurt their revenue and the internet as a whole."
22999485,pridkett,This isn’t unique to Disney. Delta Airline has been pushing #SkyMilesLife and other assorted hashtags for a while and they’ve had fine print that says they get a license to use the content with those hashtags. It was even on the signs hanging in the jet bridges back when people used to get on things called airplanes and travel to far off lands. Now it lives on through a website. from: https://skymileslife.delta.com/
22999484,moonchild,"Note that there are other considerations like absolute allocation speed, like memory fragmentation, which isn't affected by inlining.  In the ithare post they link, jemalloc thrashes all other allocators[1] on that front.  It would be interesting to see if the newer version of tcmalloc is improved at all in that respect. 1: http://ithare.com/wp-content/uploads/malloc-overhead.png"
22999483,AkshatM,"It's a fair statement to say that the majority of prospective and current Twitter users have smartphones, which justifies this decision."
22999481,The_rationalist,"They should include mimalloc.
It is gaining momentum, for example it is the default allocator for kotlin native"
22999480,floren,"I didn't drink coffee when I first moved to New Mexico, but after trying to local piñon coffee I'm a convert--luckily, I can get a 5 lb bag of the beans at Costco for about $30!"
22999478,rrrrrrrrrrrryan,"We still don't have a full-blown monopoly like we used to, but there's been considerable consolidation in the industry over the years. The T-Mobile/Sprint merger is the latest example. Article from a few years back:
https://www.theverge.com/2016/10/24/13389592/att-time-warner... There are massive economic incentives to consolidate infrastructure-like industries, hence why infrastructure is often nationalized, pseudo-nationalized, or heavily regulated."
22999477,MisterTea,"The gameboy is a well established piece of gaming hardware in which millions were made and sold around the world. It's a household name. I can still insert a copy of The Legend of Zelda: Link's Awakening DX into my Gameboy Color to this very day and it will run. It doesn't need an internet connection, account or subscription. I also have a fond memories of the gameboy and it's been a part of my life for damn near 30 years. Of course this means I have a whole draw full of gamboys and so does my brother. And it was right there in your hands, it was a part of you. You develop a fondness for those kind of things. They're also simple machines to program and pretty well documented. Contrast that to a passive IoT thing. It isn't front and center like a console so it isn't going to produce fond memories. In 20 years will anyone remember Sonos? Nest? Can someone dig it up, plug it in and start enjoying music again? I'm pretty sure those answers are ""No."" They just don't have the popularity or exposure the gameboy has and are quickly forgotten about."
22999476,Turing_Machine,"And, as you say, you can't suddenly turn a meat packing and distribution operation into one for rice. They're different in almost every respect."
22999474,jzer0cool,"Referencing from this article here:
https://www.ncausa.org/About-Coffee/History-of-Coffee And interestingly:
> ""After crude oil, coffee is the most sought commodity in the world"""
22999473,lancesells,"Agreed. It's should be about the quality of leads not the quantity. I've seen it happen with Facebook Lead Ads where those are almost worthless because of the ease to sign up."
22999471,mooreds,"Author here. I say leverage when I mean ability to influence or cause change in an organization or the world. Here's another post I wrote about leverage, with some concrete examples: http://www.mooreds.com/wordpress/archives/2497"
22999470,pmiller2,"Indeed, here is the very first paragraph of the dissenting opinion by Ginsburg (joined by Breyer), beginning at p. 39 of the linked submission: > Beyond doubt, state laws are not copyrightable. Nor are
other materials created by state legislators in the course of performing their lawmaking responsibilities, e.g., legislative committee reports, floor statements, unenacted bills. (Ante, at 8–9). Not all that legislators do, however, is ineligible for copyright protection; the government edicts doctrine shields only “works that are (1) created by judges and legislators (2) in the course of their judicial and legislative duties.” (Ante, at 9) (emphasis added). The core question this case presents, as I see it: Are the annotations in the Official Code of Georgia Annotated (OCGA) done in a legislative capacity? The answer, I am persuaded, should be no."
22999468,Myrmornis,"Is it the hunk header you're referring to? That's something that git outputs, like this, before the diff hunk:   @@ -62,17 +62,17 @@ class MyClass:

Delta makes that more prominent by surrounding it with a box (by default) and getting rid of the for-machines characters that git puts there. It doesn't apply background colors to it though: delta only applies background red and green shading to removed/added lines. (I believe that one can customize the regular expressions that git uses to decide on the hunk header; they're sometimes appropriate and sometimes not, for the languages that I use.)"
22999467,oneplane,"Well, getting an RCE on that wouldn't be that hard I imagine. Not a whole lot of protections in there, and if there is an OS between the browser and the metal you can exploit that too. And if you don't want to exploit the browser or the hardware, you can still simply inject a self-refreshing iframe in to the plain text html stream and have that z80 act like a (slow) proxy so you can do things that will point to that Z80 being the 'origin'."
22999466,VMG,"I'm using a french press with hand-grinder and the beans are roughly $30/month max. In terms of enjoyment maybe the highest ROI of the money I'm spending."
22999464,dylan33x,It’s strictly due to security and feature development From what I understand
22999463,saadatq,"Thanks!! Yeah I was hoping there was a more “modern” service in the Canadian market, but seems like Blue Cross is the way to go. Appreciate the help."
22999462,Mvandenbergh,"It would be nice if we could have a serious discussion, rather than assuming that this must certainly be the wrong decision, made by nefarious spies acting behind the scenes. First, it is important to understand that there are two protocols, both of them based on the work done by the Oxford epi group and others over the years on minimally disclosive electronic contact tracing. Both of these are a massive privacy improvement on the pervasive surveillance used in South Korea and China. I don't know enough about the Singapore app to comment on that but I would guess this is also an improvement on what they have. These protocols are DP-3T, on which Google/Apple have based their API and PEPP-PT which many countries including the UK have been building their solution. Until very recently, Germany was also using PEPP-PT but they have switched to DP-3T. Both protocols make trade-offs between the amount of information which leaks and the usefulness of the tool. That's important. Installing an app based on either will strictly reduce your current privacy. It is also important, in understanding the privacy trade-off made, to understand the degree of new privacy loss from either framework. We are already pervasively geolocated based on our phone position, this just adds a possible layer of precision to that data. If GCHQ wants to track your movements, they do have tools which can do that relatively effectively already. Both frameworks use pseudo-random rotating keys which are exchanged over Bluetooth. In PEPP-PT a central server manages a rotating private key which is used to generate a set of time-gated ephemeral IDs for each device. Devices exchange and log these IDs. When a health authority determines that someone is infected, they issue them a key which allows them to upload all their logged IDs to the central server. The server is able to determine who the infected person's phone has logged a contact with and notify those people. A random sample of additional people also receive notification messages which their phones are able to discard as invalid decoy messages. In DP-3T, the keys are generated on the devices and IDs are stored only on the devices. If a central server authorises you to do so (based on a confirmed diagnosed infection), you broadcast the IDs of all the devices you have been in proximity to. All devices regularly download a list of IDs and check the list for one of their own rotating ID numbers. If they match, the user is notified and is able to pre-emptively isolate. The second approach reduces the consequences of a nefarious central operator but at the cost of sharing more information with more people (since everyone sees the list of possibly-infected IDs). In other words, even in privacy terms, this is not a perfect approach either. That information can be used to carry out re-identification attacks and reveal infected users if certain conditions are met. From a privacy point of view, I think many people would prefer the latter (possibly allow malicious attacker, if they are able to do certain not-so-easy things to determine that they were infected) since most people in the UK will not consider that deeply private and secret information about themselves. Many of my friends who got it have posted about it on FB, twitter, etc. The former, which gives a state actor more information seems like a greater breach of privacy. However, it is worth considering why the NHSX team has made this decision, there are epidemiological reasons to significantly prefer PEPP-PT. First, it allows tweaking of the notification algorithm over time. DP-3T only allows notification of everyone in the contact with no risk indication, it's binary. Second, the greater information on the infection graph available to the central authority allows for better aggregate contact measuring which may shape increasing or decreasing distancing measures much more quickly than is currently possible since we currently have to use measures that lag considerably. DP-3T requires more data exchange and on-phone calculation but I'm not convinced that is a convincing argument against it. I tend towards selecting the solution with greater protection against state data collection and the fact that it will have API support and will therefore likely be able to run with a lower power requirement means that I would select DP-3T over PEPP-PT but I'm not the one who has to make that decision and I would love to see the internal decision making document. I do not think it is so obvious as many people are making it out to be."
22999461,ahoka,"Wow, 4 whole dollars. Crazy."
22999460,0xBeefFed,"The protocol states that it will upload the Diagnosis Keys, a set of Daily Tracing Keys relevant to your exposure. So in short, if this is the case it forces the user to either upload all their keys or none. I would like to note that a v1.1 has recently been released, my information is about v1.0."
22999459,throw0101a,See also: * https://www.techdirt.com/articles/20200427/11531544387/supre...
22999458,jlbnjmn,"This is consistent with user-tests I've done recently."
22999457,oldgradstudent,"There's always an iterative process of refining the model until you are confident in its being good enough. When are you confident it is good enough? That's quite similar to asking ""If you don't use formal methods, how do you know when your work is done?"""
22999456,isoprophlex,"If you always make your own coffee at home: - pick a number of cups you may drink each day, say four. - brew your own coffee with a drip infuser, from ground coffee. - get a container to hold, say, 90:10 caffeinated:decaf coffee grounds. After four days, move to 80:20. Etc. Don't exceed your daily limit. You'll be cured in ~ a month. You can do it."
22999455,throwanem,"Unless you go for the really high-end stuff, it's a few cents a day to drink a couple of cups at home in the morning. In a seller's market for labor, free coffee makes a useful pons asinorum for potential employers, whether or not you drink it at work. (I don't.) Even in overpriced packaging methods like K-cups, it's so inexpensive in bulk that a company that cheaps out there will cheap out on more important things too. Similarly, because caffeine is a performance-enhancing drug for cognitive workers, one may reasonably question the good sense of leadership which refuses to provide it free of charge."
22999453,Pxtl,"The problem is that ""Unknown"" is so much less useful than None.  Date of Death is ""none"" is much more of a useful concept when I'm building a database of people than Date of Death is ""unknown"".  I have a lot more alive people in my database than we-don't-know-if-they're-dead people. If SQL servers had algebraic types and I could roll my own ""Maybe"", then this bizarre decision would work.  But they don't, so it doesn't."
22999452,cm2187,"That’s one side of the ethical question, but what about the other side, what about the people who have been in contact during the period where the infected person would rather not have its location disclosed? And it is a bit theoretical, as the authorities who have the capability to track your blutooth across the city have many other ways to track you (starting by calling your phone service). What I object here with the NHS is the creation of one more tracking database with the explicit intention to let some researcher roam through it to find something interesting."
22999451,mitchs,"When I backtrace from my malloc wrapper, injected with LD_PRELOAD, I see malloc, std::new, then the call site that involved new. Unless std::new is doing some funky shit (Like detecting dlsym(""malloc"") isn't glibc's malloc, and changing implementations) I have my doubts about the claim that dynamic replacement is costly. It appears new is already dynamically linking malloc."
22999450,throw0101a,"Not only is the law un-copyright-able, but neither are the annotations because it is the legislature that produces them (even though they're distributed by a private company): * https://en.wikipedia.org/wiki/Georgia_v._Public.Resource.Org...."
22999449,matheusmoreira,"You mean this is not the norm? The cases I've read seemed quite reasonable. They happened in the 90s and early 2000s though."
22999446,mcguire,"""We should expect to see signs of PTSD everywhere. It should be absolutely pervasive in a source-base produced almost entirely by, for and about combat veterans, in societies where military mortality exceeded modern rates by a robust margin. And it simply isn’t there."" Or perhaps it's so ubiquitous it's not mentioned. There are many about everyday life that don't appear in the historical record simply because they are so common."
22999443,nabnob,"Why not take measures that don't impact individual rights, like requiring essential jobs to provide their employees with PPE?  Where's the accountability for Amazon and Walmart, that continue to allow sick employees to work?"
22999441,keiferski,"Buying a grinder, French press and bags of beans is not very expensive. Maybe $0.25 a cup depending on the quality of beans you get, plus an initial investment of ~$50 for equipment. Spending $5 on a blended pseudo coffee drink at Starbucks is not the only option."
22999440,dtf,"As far as I know it was a genuinely grassroots initiative, started by Dutch Londoner, after a similar phenomenon in the Netherlands (which I think followed from Italy). https://www.swlondoner.co.uk/i-feel-like-a-proper-londoner-n..."
22999438,colechristensen,You need somebody to ban it to make your own choices?
22999437,rory_h_r,Everyone is dunking on Disney but Twitter actually owns all your Content.
22999436,thanksforfish,The partisan politics you see on TV is thankfully just the tip of the iceberg.
22999435,qwerty456127,"This looks much more useful than what was introduced in Python 3.8. Nevertheless it's still weird these features take a year to debug."
22999434,rimutaka,"""This hunger crisis, experts say, is global and caused by a multitude of factors [...]: the sudden loss in income for countless millions who were already living hand-to-mouth; the collapse in oil prices;"" Lower oil prices contribute to hunger?"
22999517,xythian,"Exactly, every hobby or indulgence has extremes. I'm happy with my ~$200 in coffee equipment and $5-10/lb coffee. But, plenty of other people spend thousands on equipment and buy $20-30+/lb coffee. And, some people drink Folgers."
22999515,thirteenfingers,"Very disappointed that the article doesn't mention that about 1734 Johann Sebastian Bach actually wrote a secular cantata (often called the ""Coffee Cantata"") telling the story of a father trying to get his daughter to stop drinking coffee. https://en.wikipedia.org/wiki/Schweigt_stille,_plaudert_nich...
https://www.bachvereniging.nl/en/bwv/bwv-211/"
22999514,loopz,"At some point in time, did ""they"" stop being playful children, becoming obnoxious, rude and condescending? Replace ""they"", with ""we"" above, and of course not limited to tech or IT. The ironic thing is it's the weaker minds who are so easily misled, and need help from others to remind they are bigger than the circumstances who somehow shaped them."
22999513,6510,I have an interesting fact not mentioned in the article. Vandals may put the end of the paper in the toilet before flushing. In the over orientation the paper hangs closer to the toilet and is less likely to break.
22999512,jeffbee,"That is the entire point of the post. If you leave the resolution of malloc to run time, the best you can hope for is that new calls malloc, out of line. If you build with an implementation of new, the outcomes may be dramatically better. By the way there is no such thing as std::new. We are discussing ::new."
22999511,ChrisArchitect,"was thinking about the failwhale a few weeks back when github went down and was throwing angry pink unicorns. Different, pre-coronavirus times."
22999510,petercooper,"Afraid not, though some of my work is/was hosted there! :) It's been a while though.."
22999564,benibela,"Since the oil price went negative, coffee must be the most sought commodity now"
22999563,clairity,"poor little chihuahua. hopefully someone took a chance on it! my dog also shook and was frozen scared when i first met her. she took a few minutes to take a single timid step forward. but she wasn't profoundly broken like a pair of similar-looking 6 month old siblings that were there at the same time (found in a separate hoarding situation). i saw each of them separately, and neither made any positive movements in the 20-30 minutes i spent with them. that was heartbreaking too. luckily my dog is mostly well-adjusted now, outside of those occasional anxiety episodes."
22999562,Leherenn,"And usually, most of the killing happened after the rout. Casualties during the battle proper would be surprisingly low."
22999561,decebalus1,Waiting for someone to compile an E-book with the best investment advice from /r/wallstreetbets
22999560,beckingz,... Well at least we can overwhelm them with cases.
22999559,jeffbee,"In this test jemalloc actually uses the most memory of all. With default tunings it uses 700k pages at peak, compared to 170k for tcmalloc and 131k for glibc. I have no idea if that is relevant in real life and I have never cared, so I didn't mention it."
22999558,dannygarcia,[0] https://www.pitt.edu/~dash/grimm004.html
22999557,keiferski,"All things considered, coffee is a fairly cheap hobby. At the extreme end you’ve got espresso machines and personal roasters, of course, but for the average coffee connoisseur, excellent equipment is attainable for a few hundred dollars. Sure, but this discussion is about coffee."
22999556,monkeydust,Been hooked on V60 drip for my morning coffee. Really gets the flavour out of the coffee. Worth watching a few vids on youtube to get the technique right.
22999555,pmiller2,"Why are you complaining about it when it says ""Name a fair price:"" in the price field?  Work went into compiling and laying this out, so, why shouldn't someone be able to easily pay for that if they want?"
22999553,marcinem,Thank you a lot! :)
22999552,detaro,front page: https://news.ycombinator.com/item?id=22999096
22999551,jeffbee,True.  I added a date at the top.  I wrote it this morning with head revisions of both jemalloc and tcmalloc.
22999550,DanBC,"Here's the approach in Google Maps. https://www.google.co.uk/maps/@50.863906,-1.4508162,3a,75y,2... I'd be interested to know if planting trees and bushes would help. These would reduce visibility of the other road, and would (I think) make drivers less confident about passing over the crossroads without slowing down. Also, you may be wondering about the horses wondering about. These are New Forest ponies. https://en.wikipedia.org/wiki/New_Forest_pony https://www.thenewforest.co.uk/explore/wildlife-and-nature/p..."
22999549,paulcole,Why are you even giving people the option of paying for this?
22999548,noizejoy,"lol - were you still in wikipedia editor mode when you wrote that? Or do you really feel that my comment needed a citation here on HN (Hacker News)?  And if it’s the latter, I’m genuinely curious what the proper HN etiquette would be. My comment wasn’t attempting to be particularly scholarly or to be included in a referencable work. Quite honestly, I wouldn’t know which reference to pull? Wikipedia? A highly Google ranked Psychology Today magazine article (q= difference+between+tribalism+vs+social+behaviour) ? The entire Google search result link? At least 2 of the above options might have been interpreted as condescending, and the other one an almost random pick, the randomness of it becoming a potential point of critique. So I’m genuinely curious how I might have done better."
22999547,mikewhy,"- text straight-up cuts off: https://imgur.com/uYCAxbk - very weird layout: https://imgur.com/3uFfmSW - mobile users may not even see content if they don't scroll left / right after scrolling down a bit: https://imgur.com/UQrKtcy"
22999545,Zaheer,"Although this is excellent, never substitute someone else's tips for your own financial literacy. Example: Many sites will have lists of best credit cards to have. Often they don't take into account your personal circumstances. For some, Bank of America likely has the best Credit Card available if you are a Platinum Honors tier member (>$100k combined across all accounts). With this tier, their Premium Rewards card gives me 2.62% cashback on every single purchase. I get 5.25% casback on Gas using their Cash Rewards card."
22999543,oprypin,A video by Tom Scott exploring that sentiment https://youtu.be/BxV14h0kFs0
22999542,aboodman,"Your experience doesn't match mine, either. I'll go to a lot of trouble to avoid server side development, which is partly why I love <sI think it might just be a matter of what feels like home to you."
22999541,exolymph,"No it doesn't, it just has a very broad and permissive license, because how the fuck else could the website function. Do you mean ""own"" metaphorically?"
22999540,Waterluvian,"Another guess at a third party reason: bots adding noise to their behaviour.  ""If I go clicking on everything, it'll be harder to know what my actual target was."""
